legacy_url,new_url,status,reason
"https://schillingspartners.com/news/how-to-create-a-leadership-legacy","https://schillingspartners.com/news/how-to-create-a-leadership-legacy/","301","news-migration"
"https://schillingspartners.com/news/how-to-create-an-esg-policy-that-protects-your-reputation","https://schillingspartners.com/news/how-to-create-an-esg-policy-that-protects-your-reputation/","301","news-migration"
"https://schillingspartners.com/news/how-to-emerge-from-the-2021-agm-season-with-your-c-suites-best-foot-forward","https://schillingspartners.com/news/how-to-emerge-from-the-2021-agm-season-with-your-c-suites-best-foot-forward/","301","news-migration"
"https://schillingspartners.com/news/how-to-inspire-and-empower-the-next-generation-through-a-leadership-legacy","https://schillingspartners.com/news/how-to-inspire-and-empower-the-next-generation-through-a-leadership-legacy/","301","news-migration"
"https://schillingspartners.com/news/how-to-read-the-media-like-an-investigator","https://schillingspartners.com/news/how-to-read-the-media-like-an-investigator/","301","news-migration"
"https://schillingspartners.com/news/how-to-shape-the-purpose-of-an-organisation-and-influence-and-inspire-your-team","https://schillingspartners.com/news/how-to-shape-the-purpose-of-an-organisation-and-influence-and-inspire-your-team/","301","news-migration"
"https://schillingspartners.com/news/how-to-stay-one-step-ahead-of-litigation-threats-in-a-business-unusual-world","https://schillingspartners.com/news/how-to-stay-one-step-ahead-of-litigation-threats-in-a-business-unusual-world/","301","news-migration"
"https://schillingspartners.com/news/how-to-use-emergency-sos-on-your-iphone","https://schillingspartners.com/news/how-to-use-emergency-sos-on-your-iphone/","301","news-migration"
"https://schillingspartners.com/news/integrated-response-high-stakes","https://schillingspartners.com/news/","301","removed-editorial-stub"
"https://schillingspartners.com/news/integrated-response-high-stakes/","https://schillingspartners.com/news/","301","removed-editorial-stub"
"https://schillingspartners.com/news/information-wins-why-an-integrated-approach-to-intelligence-and-forensics-is-a-smart-move-for-litigators","https://schillingspartners.com/news/information-wins-why-an-integrated-approach-to-intelligence-and-forensics-is-a-smart-move-for-litigators/","301","news-migration"
"https://schillingspartners.com/news/inside-intelligence-and-investigations-life-as-a-graduate-analyst-at-schillings","https://schillingspartners.com/news/inside-intelligence-and-investigations-life-as-a-graduate-analyst-at-schillings/","301","news-migration"
"https://schillingspartners.com/news/intelligence-gathering-and-case-strategy-lifting-the-lid","https://schillingspartners.com/news/intelligence-gathering-and-case-strategy-lifting-the-lid/","301","news-migration"
"https://schillingspartners.com/news/jenny-afia-billboards-2021-top-music-lawyers","https://schillingspartners.com/news/jenny-afia-billboards-2021-top-music-lawyers/","301","news-migration"
"https://schillingspartners.com/news/jenny-afia-billboards-top-music-lawyers-2025","https://schillingspartners.com/news/jenny-afia-billboards-top-music-lawyers-2025/","301","news-migration"
"https://schillingspartners.com/news/jenny-afia-interviewed-by-the-lawyer-magazine-about-schillings-litigation-work","https://schillingspartners.com/news/jenny-afia-interviewed-by-the-lawyer-magazine-about-schillings-litigation-work/","301","news-migration"
"https://schillingspartners.com/news/jenny-afia-named-as-one-of-billboards-top-music-lawyers-2023","https://schillingspartners.com/news/jenny-afia-named-as-one-of-billboards-top-music-lawyers-2023/","301","news-migration"
"https://schillingspartners.com/news/jenny-afia-recognised-in-billboards-2022-top-music-lawyers-list","https://schillingspartners.com/news/jenny-afia-recognised-in-billboards-2022-top-music-lawyers-list/","301","news-migration"
"https://schillingspartners.com/news/josh-leigh-digital-resilience-lead-elected-to-the-schillings-partnership","https://schillingspartners.com/news/josh-leigh-digital-resilience-lead-elected-to-the-schillings-partnership/","301","news-migration"
"https://schillingspartners.com/news/josh-leigh-on-disinformation-ai-and-reputation-resilience","https://schillingspartners.com/news/josh-leigh-on-disinformation-ai-and-reputation-resilience/","301","news-migration"
"https://schillingspartners.com/news/leaders-behaving-badly-business-the-news-cycle-and-managing-reputational-risk","https://schillingspartners.com/news/leaders-behaving-badly-business-the-news-cycle-and-managing-reputational-risk/","301","news-migration"
"https://schillingspartners.com/news/leave-a-legacy","https://schillingspartners.com/news/leave-a-legacy/","301","news-migration"
"https://schillingspartners.com/news/lets-hope-tough-new-rules-on-childrens-online-data-collection-deliver-and-give-parents-peace-of-mind","https://schillingspartners.com/news/lets-hope-tough-new-rules-on-childrens-online-data-collection-deliver-and-give-parents-peace-of-mind/","301","news-migration"
"https://schillingspartners.com/news/life-after-the-pandemic-tips-for-managing-the-return-to-the-workplace","https://schillingspartners.com/news/life-after-the-pandemic-tips-for-managing-the-return-to-the-workplace/","301","news-migration"
"https://schillingspartners.com/news/life-in-lockdown-tips-on-surviving-isolation-from-a-kidnap-survivor","https://schillingspartners.com/news/life-in-lockdown-tips-on-surviving-isolation-from-a-kidnap-survivor/","301","news-migration"
"https://schillingspartners.com/news/lily-kennett-and-victoria-obyrne-published-in-step-handbook-for-advisers","https://schillingspartners.com/news/lily-kennett-and-victoria-obyrne-published-in-step-handbook-for-advisers/","301","news-migration"
"https://schillingspartners.com/news/lily-kennett-wins-gold-at-citywealths-future-leaders-awards-2020-for-initiative-of-the-year","https://schillingspartners.com/news/lily-kennett-wins-gold-at-citywealths-future-leaders-awards-2020-for-initiative-of-the-year/","301","news-migration"
"https://schillingspartners.com/news/management-todays-35-under-35-caroline-marshall","https://schillingspartners.com/news/management-todays-35-under-35-caroline-marshall/","301","news-migration"
"https://schillingspartners.com/news/managing-a-confident-and-secure-return-to-office-life","https://schillingspartners.com/news/managing-a-confident-and-secure-return-to-office-life/","301","news-migration"
